TYPE|ID|NAME|PRICE|STOCK|EXTRA1|EXTRA2
FOOD|F01|Sua tuoi Vinamilk|38000|150|2026-11-20|false
FOOD|F02|Banh mi hoa cuc|65000|80|2026-09-30|false
FOOD|F03|Tao Envy New Zealand|120000|50|2026-10-15|true
FOOD|F04|Thit bo Uc xay|145000|40|2026-09-25|true
FOOD|F05|Ca phe Trung Nguyen|75000|120|2027-05-10|false
FOOD|F06|Gao ST25 Ong Cua|190000|60|2027-01-01|true
FOOD|F07|Mi Indomie xao|5000|300|2027-03-15|false
ELECTRONICS|E01|Tai nghe Sony WH-CH|1290000|35|12|Sony
ELECTRONICS|E02|Chuot Logitech G102|399000|50|24|Logitech
ELECTRONICS|E03|Ban phim co Akko|1250000|25|12|Akko
ELECTRONICS|E04|Sac Anker Nano 30W|380000|80|18|Anker
ELECTRONICS|E05|Loa Bluetooth JBL Go|750000|40|12|JBL
ELECTRONICS|E06|Dong ho Xiaomi Band|890000|30|12|Xiaomi
ELECTRONICS|E07|O cung SSD Kingston|650000|45|36|Kingston
CLOTHING|C01|Ao polo Coolmate|199000|100|L|Cotton
CLOTHING|C02|Vay lua thoi trang|450000|25|M|Silk
CLOTHING|C03|Quan Jean Levis 511|850000|40|32|Jean
CLOTHING|C04|Ao khoac da Biker|1150000|15|XL|Leather
CLOTHING|C05|Ao hoodie Unisex|280000|60|L|Cotton
CLOTHING|C06|Quan short the thao|120000|85|M|Polyester
CLOTHING|C07|So mi cong so|550000|35|L|Silk
